Division;CountryCode
ARG;
AUT;AUT
B1;BEL
BRA;
CHN;
D1;GER
D2;GER
DEN;DEN
E0;ENG
E1;ENG
E2;ENG
E3;ENG
EC;
F1;FRA
F2;FRA
FIN;FIN
G1;GRE
I1;ITA
I2;ITA
IRL;
JAP;
MEX;
N1;NED
NOR;NOR
P1;POR
POL;POL
ROM;ROM
RUS;RUS
SC0;SCO
SC1;SCO
SC2;SCO
SC3;SCO
SP1;ESP
SP2;ESP
SUI;
SWE;SWE
T1;TUR
USA;
